s.age.t4,s.gen.t4,s.inc.t4,ad.1.t4,ad.2.t4,ad.3.t4,ad.4.t4,ad.5.t4,ad.6.t4,ad.7.t4,ad.8.t4
38,1,5,2,2,2,2,3,2,1,2
55,1,3,3,3,1,2,2,1,1,4
55,2,2,2,2,3,2,2,3,4,4
54,1,2,2,1,2,2,3,3,2,4
48,1,2,2,2,2,3,3,2,2,2
60,2,4,2,2,1,2,1,1,1,2
31,2,5,1,1,1,1,2,3,2,2
45,2,3,1,1,1,1,1,2,1,4
60,1,5,2,2,2,2,1,1,1,3
28,1,4,2,2,2,2,4,4,2,3
45,1,4,2,2,1,2,2,1,1,2
50,1,3,2,2,1,1,1,1,1,1
46,2,3,1,1,1,1,1,1,1,1
54,1,3,2,2,1,1,2,1,2,2
 , , , , , , , , , , 
30,2,3, , , , , , , , 
30,2,4,2,1,1,1,1,1,1,1
49,2,4,1,1,2,1,1,1,1,1
43,2,4,3,3,2,2,3,3,2,4
62,1,4,2,3,2,2,2,1,2,1
38,1,4,1,1,2,1,1,1,1,2
38,1,4,2,1,1,1,2,1,1,3
30,1,4,1,2,1,1,1,1,1,3
60,1,2,4,4,3,3,3,4,4,4
24,2,5,1,1,1,1,1,1,1,1
47,1,3,2,2,1,1,2,1,2,1
26,1,2,2,2,1,1,1,1,1,2
42,1,4,3,3,3,3,3,3,4,4
47,1,4,3,2,2,2,2,1,1,1
59,2,4,2,2,1,1,2,1,2,1
24,2,3,2,2,2,2,2,2,2,3
34,2,2,2,2,2,1,1,2,1,2
27,2,4,1,1,1,1,1,3,2,1
49,1,5,2,2,1,1,1,1,1,3
23,1,4,1,1,1,1,1,1,2,1
57,2,5,3,2,1,2,2,2,2,2
59,2,4,3,2,1,1,2,2,1,3
33,1,4,1,2,1,1,1,1,3,2
 , , , , , , , , , , 
61,1,4,2,1,1,1,2,1,1,3
57,1,3,2,2,2,2,2,2,2,2
37,1,4,3,2,1,1,2,1,1,1
54,1,3,2,2,1,1,2,1,1,1
50,2,4,2,2,2,2,2,4,3,3
57,1,2,2,3,2,1,2,1,1,2
26,2,5,2,1,1,1,2,2,1,2
54,2,5,1,2,3,1,4,4,4,4
61,1,3,2,2,3,2,3,1,2,3
37,2,3,2,2,2,2,2,1,1,1
26,1,4,2,2,2,2,2,1,2,4
45,2,2,2,1,1,1,1,1,1,2
21,2,2,4,4,3,2,4,4,4,4
26,1,2,2,4,2,2,2,4,2,2
46,1,3,3,3,2,3,3,2,3,3
50,2,3,3,3,4,2,2,3,4,3
55,2,4,3,3,3,2,3,2,2,2
57,2,2,4,2,3,3,3,2,4,4
62,2,3,4,4,3,3,3,4,4,4
58,2,2,2,1,1,2,2,1,1,2
52,2,4,1,1,1,1,1,1,1,2
60,1,4,2,2,1,2,2,1,1,1
35,2,4,2,1,1,1,1,1,1,2
62,1,3,2,2,1,1,1,2,1,2
44,1,3,2,2,3,3,3,2,2,2
57,2,4,3,3,2,2,2,2,1,1
37,1,5,2,1,1,1,1,1,1,2
19,1,4,3,2,2,2,2,2,2,2
62,1,4,2,2,1,1,1,1,1,1
58,1,2,3,2,1,1,2,2,2,2
64,2,2,2,2,1,2,2,1,1,3
60,2,4,3,2,1,2,2,1,2,3
25,1,3,2,2,2,1,1,2,1,3
34,2,3,1,2,2,1,1,1,1,3
